days,x,y,z,popval,m1,m2,m3,m4
2,0,1,2,1,0.814553898,0.814553898,0.814553898,0.814553898
2,0,1,3,1,0.881762771,0.881762771,0.881762771,0.881762771
2,0,2,0,1,0.80975404,0.80975404,0.80975404,0.80975404
2,0,2,1,1,0.825750825,0.825750825,0.825750825,0.825750825
2,0,2,2,1,0.826380292,0.826380292,0.826380292,0.826380292
2,0,2,3,1,0.851077156,0.851077156,0.851077156,0.851077156
2,0,3,0,1,0.863235925,0.863235925,0.863235925,0.863235925
2,0,3,1,1,0.814929401,0.814929401,0.814929401,0.814929401
2,0,3,2,1,0.818184703,0.818184703,0.818184703,0.818184703
2,0,3,3,1,0.850850866,0.850850866,0.850850866,0.850850866
2,0,4,0,1,0.891337586,0.891337586,0.891337586,0.891337586
2,0,4,1,1,0.813862444,0.813862444,0.813862444,0.813862444
2,0,4,2,1,0.891064759,0.891064759,0.891064759,0.891064759
2,0,4,3,1,0.830634947,0.830634947,0.830634947,0.830634947
2,0,5,0,1,0.812698682,0.812698682,0.812698682,0.812698682
2,0,5,1,1,0.854721553,0.854721553,0.854721553,0.854721553
2,0,5,2,1,0.843141383,0.843141383,0.843141383,0.843141383
2,0,5,3,1,0.844678375,0.844678375,0.844678375,0.844678375
2,0,6,0,1,0.890579194,0.890579194,0.890579194,0.890579194
2,0,6,1,1,0.895929143,0.895929143,0.895929143,0.895929143
2,0,6,2,1,0.880006848,0.880006848,0.880006848,0.880006848
2,0,6,3,1,0.843585859,0.843585859,0.843585859,0.843585859
2,0,7,0,1,0.881472369,0.881472369,0.881472369,0.881472369
2,0,7,1,1,0.889090325,0.889090325,0.889090325,0.889090325
2,0,7,2,1,0.82598704,0.82598704,0.82598704,0.82598704
2,0,7,3,1,0.848679163,0.848679163,0.848679163,0.848679163
2,1,0,0,1,0.814188634,0.814188634,0.814188634,0.814188634
2,1,0,1,1,0.847328885,0.847328885,0.847328885,0.847328885
2,1,0,2,1,0.851324954,0.851324954,0.851324954,0.851324954
2,1,0,3,1,0.855015634,0.855015634,0.855015634,0.855015634
2,1,1,0,1,0.880028047,0.880028047,0.880028047,0.880028047
2,1,1,1,1,0.861604468,0.861604468,0.861604468,0.861604468
2,1,1,2,1,0.835095238,0.835095238,0.835095238,0.835095238
2,1,1,3,1,0.887594281,0.887594281,0.887594281,0.887594281
2,1,2,0,1,0.848537565,0.848537565,0.848537565,0.848537565
2,1,2,1,1,0.825108386,0.825108386,0.825108386,0.825108386
2,1,2,2,1,0.862205513,0.862205513,0.862205513,0.862205513
2,1,2,3,1,0.893900156,0.893900156,0.893900156,0.893900156
2,1,3,0,1,0.895716695,0.895716695,0.895716695,0.895716695
2,1,3,1,1,0.819659525,0.819659525,0.819659525,0.819659525
2,1,3,2,1,0.885303112,0.885303112,0.885303112,0.885303112
2,1,3,3,1,0.83507271,0.83507271,0.83507271,0.83507271
2,1,4,0,1,0.897059278,0.897059278,0.897059278,0.897059278
2,1,4,1,1,0.834998377,0.834998377,0.834998377,0.834998377
2,1,4,2,1,0.81449548,0.81449548,0.81449548,0.81449548
2,1,4,3,1,0.853282559,0.853282559,0.853282559,0.853282559
2,1,5,0,1,0.815761308,0.815761308,0.815761308,0.815761308
2,1,5,1,1,0.892926362,0.892926362,0.892926362,0.892926362
2,1,5,2,1,0.85498602,0.85498602,0.85498602,0.85498602
2,1,5,3,1,0.881158046,0.881158046,0.881158046,0.881158046
2,1,6,0,1,0.896488854,0.896488854,0.896488854,0.896488854
2,1,6,1,1,0.824352497,0.824352497,0.824352497,0.824352497
2,1,6,2,1,0.857970459,0.857970459,0.857970459,0.857970459
2,1,6,3,1,0.837860938,0.837860938,0.837860938,0.837860938
2,1,7,0,1,0.895750684,0.895750684,0.895750684,0.895750684
2,1,7,1,1,0.881428483,0.881428483,0.881428483,0.881428483
2,1,7,2,1,0.886929221,0.886929221,0.886929221,0.886929221
2,1,7,3,1,0.864431813,0.864431813,0.864431813,0.864431813
2,2,0,0,1,0.893399325,0.893399325,0.893399325,0.893399325
2,2,0,1,1,0.875372909,0.875372909,0.875372909,0.875372909
2,2,0,2,1,0.804965443,0.804965443,0.804965443,0.804965443
2,2,0,3,1,0.819476429,0.819476429,0.819476429,0.819476429
2,2,1,0,1,0.884912931,0.884912931,0.884912931,0.884912931
2,2,1,1,1,0.875720023,0.875720023,0.875720023,0.875720023
2,2,1,2,1,0.841726707,0.841726707,0.841726707,0.841726707
2,2,1,3,1,0.884430879,0.884430879,0.884430879,0.884430879
2,2,2,0,1,0.803571168,0.803571168,0.803571168,0.803571168
2,2,2,1,1,0.828583902,0.828583902,0.828583902,0.828583902
2,2,2,2,1,0.823995253,0.823995253,0.823995253,0.823995253
2,2,2,3,1,0.823048816,0.823048816,0.823048816,0.823048816
2,2,3,0,1,0.86557407,0.86557407,0.86557407,0.86557407
2,2,3,1,1,0.891719366,0.891719366,0.891719366,0.891719366
2,2,3,2,1,0.818390779,0.818390779,0.818390779,0.818390779
2,2,3,3,1,0.847092335,0.847092335,0.847092335,0.847092335
2,2,4,0,1,0.895949243,0.895949243,0.895949243,0.895949243
2,2,4,1,1,0.854972361,0.854972361,0.854972361,0.854972361
2,2,4,2,1,0.812331893,0.812331893,0.812331893,0.812331893
2,2,4,3,1,0.830124633,0.830124633,0.830124633,0.830124633
2,2,5,0,1,0.879220733,0.879220733,0.879220733,0.879220733
2,2,5,1,1,0.858526409,0.858526409,0.858526409,0.858526409
2,2,5,2,1,0.823991615,0.823991615,0.823991615,0.823991615
2,2,5,3,1,0.820774229,0.820774229,0.820774229,0.820774229
2,2,6,0,1,0.891573553,0.891573553,0.891573553,0.891573553
2,2,6,1,1,0.883082863,0.883082863,0.883082863,0.883082863
2,2,6,2,1,0.807596669,0.807596669,0.807596669,0.807596669
2,2,6,3,1,0.85870447,0.85870447,0.85870447,0.85870447
2,2,7,0,1,0.842176128,0.842176128,0.842176128,0.842176128
2,2,7,1,1,0.835165951,0.835165951,0.835165951,0.835165951
2,2,7,2,1,0.840180803,0.840180803,0.840180803,0.840180803
2,2,7,3,1,0.862247509,0.862247509,0.862247509,0.862247509
2,3,0,0,1,0.803183285,0.803183285,0.803183285,0.803183285
2,3,0,1,1,0.812990621,0.812990621,0.812990621,0.812990621
2,3,0,2,1,0.811120276,0.811120276,0.811120276,0.811120276
2,3,0,3,1,0.818481632,0.818481632,0.818481632,0.818481632
2,3,1,0,1,0.870604609,0.870604609,0.870604609,0.870604609
2,3,1,1,1,0.893401068,0.893401068,0.893401068,0.893401068
2,3,1,2,1,0.836924678,0.836924678,0.836924678,0.836924678
2,3,1,3,1,0.843020739,0.843020739,0.843020739,0.843020739
2,3,2,0,1,0.817118669,0.817118669,0.817118669,0.817118669
2,3,2,1,1,0.877916723,0.877916723,0.877916723,0.877916723
2,3,2,2,1,0.890005385,0.890005385,0.890005385,0.890005385
2,3,2,3,1,0.892337964,0.892337964,0.892337964,0.892337964
2,3,3,0,1,0.865547789,0.865547789,0.865547789,0.865547789
2,3,3,1,1,0.853079755,0.853079755,0.853079755,0.853079755
2,3,3,2,1,0.833771941,0.833771941,0.833771941,0.833771941
2,3,3,3,1,0.831110229,0.831110229,0.831110229,0.831110229
2,3,4,0,1,0.839222702,0.839222702,0.839222702,0.839222702
2,3,4,1,1,0.805395012,0.805395012,0.805395012,0.805395012
2,3,4,2,1,0.848925264,0.848925264,0.848925264,0.848925264
2,3,4,3,1,0.843569868,0.843569868,0.843569868,0.843569868
2,3,5,0,1,0.874313247,0.874313247,0.874313247,0.874313247
2,3,5,1,1,0.807585429,0.807585429,0.807585429,0.807585429
2,3,5,2,1,0.849086409,0.849086409,0.849086409,0.849086409
2,3,5,3,1,0.82276643,0.82276643,0.82276643,0.82276643
2,3,6,0,1,0.875774013,0.875774013,0.875774013,0.875774013
2,3,6,1,1,0.856782164,0.856782164,0.856782164,0.856782164
2,3,6,2,1,0.894478719,0.894478719,0.894478719,0.894478719
2,3,6,3,1,0.817070805,0.817070805,0.817070805,0.817070805
2,3,7,0,1,0.867873515,0.867873515,0.867873515,0.867873515
2,3,7,1,1,0.838044585,0.838044585,0.838044585,0.838044585
2,3,7,2,1,0.890271611,0.890271611,0.890271611,0.890271611
2,3,7,3,1,0.822592178,0.822592178,0.822592178,0.822592178
2,4,0,0,1,0.803444608,0.803444608,0.803444608,0.803444608
2,4,0,1,1,0.852853314,0.852853314,0.852853314,0.852853314
2,4,0,2,1,0.895613454,0.895613454,0.895613454,0.895613454
2,4,0,3,1,0.826221175,0.826221175,0.826221175,0.826221175
2,4,1,0,1,0.895022205,0.895022205,0.895022205,0.895022205
2,4,1,1,1,0.831121504,0.831121504,0.831121504,0.831121504
2,4,1,2,1,0.894205059,0.894205059,0.894205059,0.894205059
2,4,1,3,1,0.859489607,0.859489607,0.859489607,0.859489607
2,4,2,0,1,0.831709948,0.831709948,0.831709948,0.831709948
2,4,2,1,1,0.879428454,0.879428454,0.879428454,0.879428454
2,4,2,2,1,0.813197329,0.813197329,0.813197329,0.813197329
2,4,2,3,1,0.840871985,0.840871985,0.840871985,0.840871985
2,4,3,0,1,0.869482862,0.869482862,0.869482862,0.869482862
2,4,3,1,1,0.816218231,0.816218231,0.816218231,0.816218231
2,4,3,2,1,0.809645453,0.809645453,0.809645453,0.809645453
2,4,3,3,1,0.82580647,0.82580647,0.82580647,0.82580647
2,4,4,0,1,0.882345783,0.882345783,0.882345783,0.882345783
2,4,4,1,1,0.833712264,0.833712264,0.833712264,0.833712264
2,4,4,2,1,0.840391215,0.840391215,0.840391215,0.840391215
2,4,4,3,1,0.811111922,0.811111922,0.811111922,0.811111922
2,4,5,0,1,0.809713178,0.809713178,0.809713178,0.809713178
2,4,5,1,1,0.801190207,0.801190207,0.801190207,0.801190207
2,4,5,2,1,0.824169129,0.824169129,0.824169129,0.824169129
2,4,5,3,1,0.843886997,0.843886997,0.843886997,0.843886997
2,4,6,0,1,0.804617139,0.804617139,0.804617139,0.804617139
2,4,6,1,1,0.846939064,0.846939064,0.846939064,0.846939064
